metabolite,missing_n,missing_pct,zero_n,zero_pct,mean,median
(R)-3-Hydroxybutyric acid,0,0.0,143,30.752688172043012,26.32026278014623,7.357997939
hypoxanthine,0,0.0,7,1.5053763440860215,5.322293414507527,4.741837764
citrate,0,0.0,5,1.0752688172043012,112.6737526063785,113.7088869
isopropanol,0,0.0,3,0.6451612903225806,69.00892581384731,38.43942843
acetoacetate,0,0.0,3,0.6451612903225806,86.30694286056344,58.52890953
Pyruvic acid,0,0.0,1,0.21505376344086022,99.18008064305377,88.56751191
Dimethyl sulfone,0,0.0,1,0.21505376344086022,84.20658164634624,59.1604053
L-Lactic acid,0,0.0,1,0.21505376344086022,1847.504452451613,1781.479255
D-phenylalanine,0,0.0,0,0.0,139.3330785982774,136.5515242
methanol,0,0.0,0,0.0,242.39287930255915,168.2727331
lipoproteins,0,0.0,0,0.0,28584.9142024086,26940.61885
L-leucine,0,0.0,0,0.0,366.29404843017204,350.4562357
histidine,0,0.0,0,0.0,63.73085559763442,62.24821095
L-allo-Isoleucine,0,0.0,0,0.0,48.399755603225806,46.55941007
acetate,0,0.0,0,0.0,50.99658599234409,44.94046288
glycine,0,0.0,0,0.0,363.57546426329026,354.9420573
L-glutamine,0,0.0,0,0.0,1022.4760952582795,1020.177654
creatinine,0,0.0,0,0.0,109.10997862027956,107.3630427
L-valine,0,0.0,0,0.0,280.9899274694624,268.0462225
L-alanine,0,0.0,0,0.0,1151.0463235705374,1130.092941
L-tyrosine,0,0.0,0,0.0,104.50479749247312,99.43421677
