comparison,target_time,metabolite,n_pairs,wilcoxon_stat,p_value,median_log1p_delta,median_raw_delta,test_method,q_value_fdr
12 months after surgery vs preop,12 months after surgery,Dimethyl sulfone,71,91.0,1.0575053730348354e-11,1.0894885516307675,55.85851045999999,wilcoxon_fallback_normal_approx,2.2207612833731542e-10
12 months after surgery vs preop,12 months after surgery,isopropanol,71,143.0,8.005414936938254e-11,-1.2085155542845598,-61.939361119999994,wilcoxon_fallback_normal_approx,8.405685683785167e-10
12 months after surgery vs preop,12 months after surgery,L-valine,71,161.0,1.5808453614357557e-10,-0.3516809655442019,-104.78976529999997,wilcoxon_fallback_normal_approx,1.106591753005029e-09
12 months after surgery vs preop,12 months after surgery,lipoproteins,71,177.0,2.869232749785682e-10,-0.19406532808077337,-5478.014650000001,wilcoxon_fallback_normal_approx,1.506347193637483e-09
12 months after surgery vs preop,12 months after surgery,glycine,71,242.0,2.970051170708185e-09,0.22990808290608733,70.00020269999999,wilcoxon_fallback_normal_approx,1.2474214916974377e-08
12 months after surgery vs preop,12 months after surgery,L-tyrosine,71,280.0,1.093746846139663e-08,-0.18628480751586096,-22.086175049999994,wilcoxon_fallback_normal_approx,3.6297765408901615e-08
12 months after surgery vs preop,12 months after surgery,L-allo-Isoleucine,71,283.0,1.2099255136300537e-08,-0.22698826323249932,-11.5020818,wilcoxon_fallback_normal_approx,3.6297765408901615e-08
12 months after surgery vs preop,12 months after surgery,Pyruvic acid,71,380.0,2.710665094863057e-07,-0.41367188897135776,-35.50543960000002,wilcoxon_fallback_normal_approx,7.115495874015525e-07
12 months after surgery vs preop,12 months after surgery,D-phenylalanine,71,411.0,6.873550237684988e-07,-0.13224856399288853,-20.96213420000001,wilcoxon_fallback_normal_approx,1.6038283887931638e-06
12 months after surgery vs preop,12 months after surgery,methanol,71,444.0,1.7897805905448354e-06,-0.4202803759089502,-82.51415979999999,wilcoxon_fallback_normal_approx,3.758539240144154e-06
12 months after surgery vs preop,12 months after surgery,L-leucine,71,579.0,6.273225195240413e-05,-0.16016765022343904,-66.2577584,wilcoxon_fallback_normal_approx,0.00011976157190913516
12 months after surgery vs preop,12 months after surgery,L-glutamine,71,683.0,0.0006582869655663223,0.06433612233468544,61.23981470000001,wilcoxon_fallback_normal_approx,0.001152002189741064
12 months after surgery vs preop,12 months after surgery,hypoxanthine,71,770.0,0.005740798695466913,0.2223588333170412,1.019796189,wilcoxon_fallback_normal_approx,0.009273597892677322
12 months after surgery vs preop,12 months after surgery,histidine,71,802.0,0.006439172639124187,0.08377354489782185,5.172882340000001,wilcoxon_fallback_normal_approx,0.009658758958686281
12 months after surgery vs preop,12 months after surgery,acetoacetate,71,843.0,0.012788201706070338,-0.20151992801327934,-9.384440451,wilcoxon_fallback_normal_approx,0.017903482388498475
12 months after surgery vs preop,12 months after surgery,L-alanine,71,893.0,0.02758615941342155,-0.08908077783529222,-96.84580899999992,wilcoxon_fallback_normal_approx,0.03620683423011578
12 months after surgery vs preop,12 months after surgery,creatinine,71,926.0,0.04400561776379596,-0.05968790787601641,-5.200617510000001,wilcoxon_fallback_normal_approx,0.05435988076704207
12 months after surgery vs preop,12 months after surgery,acetate,71,938.0,0.05174137600746141,0.10192685714905769,3.984341360000002,wilcoxon_fallback_normal_approx,0.060364938675371654
12 months after surgery vs preop,12 months after surgery,citrate,71,1142.0,0.43751712038082885,0.07745259477562971,9.966038400000002,wilcoxon_fallback_normal_approx,0.4835715541051266
12 months after surgery vs preop,12 months after surgery,L-Lactic acid,71,1149.0,0.4615579388660179,0.0830174628892566,115.74939499999982,wilcoxon_fallback_normal_approx,0.48463583580931885
12 months after surgery vs preop,12 months after surgery,(R)-3-Hydroxybutyric acid,71,704.0,0.7435254817712513,0.0,0.0,wilcoxon_fallback_normal_approx,0.7435254817712513
3 months after surgery vs preop,3 months after surgery,lipoproteins,98,114.0,2.629542186343866e-16,-0.3085561663410621,-8567.250585000002,wilcoxon_fallback_normal_approx,5.5220385913221186e-15
3 months after surgery vs preop,3 months after surgery,L-valine,98,176.0,1.593116429296893e-15,-0.3912189044283183,-110.09465690000002,wilcoxon_fallback_normal_approx,1.6727722507617378e-14
3 months after surgery vs preop,3 months after surgery,Dimethyl sulfone,98,255.0,1.4763950551984094e-14,0.745602201332288,32.892887735,wilcoxon_fallback_normal_approx,1.0334765386388865e-13
3 months after surgery vs preop,3 months after surgery,L-tyrosine,98,280.0,2.939132564034104e-14,-0.3481005672882813,-36.864929804999996,wilcoxon_fallback_normal_approx,1.5430445961179048e-13
3 months after surgery vs preop,3 months after surgery,L-leucine,98,394.0,6.15495693792414e-13,-0.4721670645054692,-150.19282644999998,wilcoxon_fallback_normal_approx,2.5850819139281387e-12
3 months after surgery vs preop,3 months after surgery,(R)-3-Hydroxybutyric acid,98,428.0,1.0262938853385344e-11,2.0411697788701217,26.0198399,wilcoxon_fallback_normal_approx,3.1358690341795555e-11
3 months after surgery vs preop,3 months after surgery,L-allo-Isoleucine,98,506.0,1.045289678059852e-11,-0.24556536867144496,-11.846740684999997,wilcoxon_fallback_normal_approx,3.1358690341795555e-11
3 months after surgery vs preop,3 months after surgery,glycine,98,561.0,3.969073404192198e-11,0.2727786979611033,86.86099970000001,wilcoxon_fallback_normal_approx,1.0418817686004521e-10
3 months after surgery vs preop,3 months after surgery,D-phenylalanine,98,570.0,4.920048738406677e-11,-0.16781717311248956,-26.84398639999999,wilcoxon_fallback_normal_approx,1.1480113722948914e-10
3 months after surgery vs preop,3 months after surgery,acetoacetate,98,643.0,2.707662408949757e-10,0.9425683814245756,59.185851125,wilcoxon_fallback_normal_approx,5.686091058794489e-10
3 months after surgery vs preop,3 months after surgery,citrate,98,678.0,5.992460337479844e-10,0.27113175366740316,36.002313055,wilcoxon_fallback_normal_approx,1.144015155337061e-09
3 months after surgery vs preop,3 months after surgery,isopropanol,98,958.0,2.0098154789506844e-07,-0.7534772640476868,-45.65984896,wilcoxon_fallback_normal_approx,3.5171770881636975e-07
3 months after surgery vs preop,3 months after surgery,L-alanine,98,1474.0,0.0007518408453156922,-0.08386663617125034,-95.13221264999999,wilcoxon_fallback_normal_approx,0.0012145121347407334
3 months after surgery vs preop,3 months after surgery,L-Lactic acid,98,1613.0,0.0040098665487805565,0.1525309552514722,295.087635,wilcoxon_fallback_normal_approx,0.006014799823170834
3 months after surgery vs preop,3 months after surgery,methanol,98,1620.0,0.004336596701564269,-0.18699534091176995,-34.80386644999999,wilcoxon_fallback_normal_approx,0.006071235382189977
