rank_by_test_auc,rank_run_order,n_estimators,max_depth,min_samples_leaf,train_roc_auc,test_roc_auc,auc_gap_train_minus_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1,test_f1,test_precision,test_recall,overfit_flag_auc_gap_gt_0_10
1,17,50,None,1,1.0,0.9535714285714286,0.046428571428571375,1.0,0.9021739130434783,1.0,0.8577922077922078,1.0,0.9361702127659575,0.9295774647887324,0.9428571428571428,False
2,60,300,None,10,0.9763964409293129,0.95,0.026396440929312925,0.9168900804289544,0.8586956521739131,0.92947767342231,0.875974025974026,0.9441441441441442,0.9007633587786259,0.9672131147540983,0.8428571428571429,False
3,53,300,5,1,0.9856648541769648,0.9493506493506494,0.03631420482631542,0.9329758713136729,0.8478260869565217,0.9356360191135278,0.8532467532467533,0.955595026642984,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
4,37,100,None,1,1.0,0.9493506493506493,0.05064935064935072,1.0,0.8913043478260869,1.0,0.8506493506493507,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,False
5,75,500,5,5,0.9790739825341901,0.9487012987012987,0.03037268383289138,0.9222520107238605,0.8478260869565217,0.9287156038886142,0.8532467532467533,0.9481216457960644,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
6,74,500,5,3,0.9810924369747899,0.9487012987012986,0.03239113827349127,0.9249329758713136,0.8478260869565217,0.9304457076948427,0.8532467532467533,0.95,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
7,40,100,None,10,0.975572581973966,0.948051948051948,0.02752063392201798,0.9061662198391421,0.8586956521739131,0.9141127039050915,0.875974025974026,0.9369369369369369,0.9007633587786259,0.9672131147540983,0.8428571428571429,False
8,73,500,5,1,0.9862003624979403,0.948051948051948,0.03814841444599226,0.935656836461126,0.8478260869565217,0.9373661229197561,0.8532467532467533,0.9574468085106383,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
9,12,50,4,10,0.970505849398583,0.948051948051948,0.02245390134663494,0.9061662198391421,0.8369565217391305,0.918334981051244,0.8461038961038961,0.9367088607594937,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
10,94,1000,5,3,0.9817103311913,0.948051948051948,0.03365838313935199,0.9276139410187667,0.8369565217391305,0.9363980886472236,0.8461038961038961,0.9516994633273703,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
