metabolite,time_point,median_log1p_abundance,delta_log1p_vs_preop,direction_vs_preop,median_raw_abundance,raw_delta_vs_preop,raw_pct_change_vs_preop
(R)-3-Hydroxybutyric acid,preop,0.9828761176676795,0.0,baseline,1.673473926,0.0,0.0
(R)-3-Hydroxybutyric acid,3 months after surgery,3.5346582321271827,2.5517821144595034,increase,33.33156016,31.658086234000002,1891.7585593741724
(R)-3-Hydroxybutyric acid,6 months after surgery,2.386700090774637,1.4038239731069575,increase,9.8869378885,8.2134639625,490.80322285822103
(R)-3-Hydroxybutyric acid,9 months after surgery,1.152176781700279,0.16930066403259958,increase,2.178164324,0.5046903979999999,30.158246875487915
(R)-3-Hydroxybutyric acid,12 months after surgery,1.2588256163074292,0.2759494986397497,increase,2.52128372,0.847809794,50.66166737515096
acetate,preop,3.717183265064248,0.0,baseline,40.148919879999994,0.0,0.0
acetate,3 months after surgery,3.908190709796273,0.19100744473202536,increase,48.80875866,8.659838780000008,21.569294531168367
acetate,6 months after surgery,3.8175972228404635,0.10041395777621576,increase,44.494798384999996,4.345878505000002,10.824397064701314
acetate,9 months after surgery,3.789363979418364,0.07218071435411622,increase,43.22877234,3.079852460000005,7.671071772803082
acetate,12 months after surgery,3.997280439275055,0.28009717421080715,increase,53.44986877,13.300948890000008,33.12903293477097
acetoacetate,preop,3.896709484898156,0.0,baseline,48.241368155,0.0,0.0
acetoacetate,3 months after surgery,4.653025831233129,0.7563163463349731,increase,103.923696,55.682327845,115.42443752028781
acetoacetate,6 months after surgery,4.239783102228138,0.3430736173299822,increase,68.39297268499999,20.151604529999986,41.77245650507398
acetoacetate,9 months after surgery,3.773940612360692,-0.12276887253746382,decrease,42.55196354,-5.689404615000001,-11.793622014864683
acetoacetate,12 months after surgery,3.6292034538699993,-0.2675060310281565,decrease,36.68278858,-11.558579575000003,-23.959891721690337
L-alanine,preop,7.073910277027275,0.0,baseline,1179.761968,0.0,0.0
L-alanine,3 months after surgery,6.981281421512849,-0.0926288555144259,decrease,1075.297948,-104.46402000000012,-8.85466923273459
L-alanine,6 months after surgery,6.994438603332901,-0.07947167369437391,decrease,1089.5513345,-90.21063350000009,-7.646511410511929
L-alanine,9 months after surgery,7.0640006812460125,-0.009909595781262048,decrease,1168.114645,-11.647322999999915,-0.9872604233670224
L-alanine,12 months after surgery,7.028753552661015,-0.04515672436625984,decrease,1127.622964,-52.139004000000114,-4.41945116169401
L-valine,preop,5.866884367962326,0.0,baseline,352.1623,0.0,0.0
L-valine,3 months after surgery,5.4968917108502815,-0.36999265711204465,decrease,242.93256209999998,-109.22973790000003,-31.01687429347208
L-valine,6 months after surgery,5.5565022144448735,-0.3103821535174527,decrease,257.9163084,-94.24599160000002,-26.76208997953501
L-valine,9 months after surgery,5.5445971133674625,-0.3222872545948636,decrease,254.88361890000002,-97.2786811,-27.623252432188227
L-valine,12 months after surgery,5.545046752736644,-0.3218376152256823,decrease,254.9665451,-97.19575490000003,-27.599704710015814
hypoxanthine,preop,1.6468611718645791,0.0,baseline,4.1906623285,0.0,0.0
hypoxanthine,3 months after surgery,1.7975391054170742,0.15067793355249504,increase,5.0350626505000005,0.8444003220000003,20.149567199852243
hypoxanthine,6 months after surgery,1.802926473777409,0.15606530191282997,increase,5.067406796,0.8767444675,20.921381843089723
hypoxanthine,9 months after surgery,1.726865139314073,0.0800039674494939,increase,4.6233659844999995,0.43270365599999927,10.325424051879661
hypoxanthine,12 months after surgery,1.8210242774485303,0.1741631055839512,increase,5.178183384,0.9875210554999994,23.56479663808826
citrate,preop,4.6716723028336276,0.0,baseline,105.8764565,0.0,0.0
citrate,3 months after surgery,4.928199570191017,0.25652726735738973,increase,137.13060374999998,31.254147249999974,29.519449633261925
citrate,6 months after surgery,4.751392180108379,0.07971987727475138,increase,114.746292,8.869835499999994,8.37753339431037
citrate,9 months after surgery,4.628568538476735,-0.04310376435689278,decrease,101.36848975000001,-4.507966749999994,-4.257761261588873
