metabolite,n_complete_subjects,friedman_stat,p_value,preop_median_raw,12m_median_raw,median_delta_12m_minus_preop_raw,test_method,q_value_fdr
Dimethyl sulfone,60,97.62666666666678,3.147634481143589e-20,29.7173318,94.908872645,65.191540845,friedman_fallback_chi_square_approx,6.610032410401537e-19
lipoproteins,60,94.88000000000011,1.208575853170269e-19,33972.060565,26394.767505,-7577.29306,friedman_fallback_chi_square_approx,1.2690046458287823e-18
glycine,60,76.51999999999998,9.502621203942135e-16,289.18839155,400.29233745,111.10394589999999,friedman_fallback_chi_square_approx,5.755377027214367e-15
L-leucine,60,76.22666666666669,1.0962622908979747e-15,449.90363345000003,386.76076115,-63.14287230000002,friedman_fallback_chi_square_approx,5.755377027214367e-15
L-valine,60,65.9333333333334,1.6361062708717606e-13,354.553955,254.01364865,-100.54030634999998,friedman_fallback_chi_square_approx,6.871646337661395e-13
isopropanol,60,59.39949958298596,3.8788000055583896e-12,82.17066344,21.455862070000002,-60.714801369999996,friedman_fallback_chi_square_approx,1.3575800019454363e-11
acetoacetate,60,53.50666666666666,6.675597028108862e-11,53.82774942,36.978774189999996,-16.848975230000008,friedman_fallback_chi_square_approx,2.0026791084326588e-10
L-tyrosine,60,52.680000000000064,9.94218538580599e-11,128.0151604,99.79317667500001,-28.221983725,friedman_fallback_chi_square_approx,2.6098236637740725e-10
(R)-3-Hydroxybutyric acid,60,48.484958979033905,7.477508959993329e-10,3.3463274905000002,2.7648594639999997,-0.5814680265000005,friedman_fallback_chi_square_approx,1.74475209066511e-09
L-allo-Isoleucine,60,46.49333333333334,1.9442539324003964e-09,55.021699240000004,45.749179495,-9.272519745000004,friedman_fallback_chi_square_approx,4.082933258040833e-09
D-phenylalanine,60,44.706666666666706,4.575299827813984e-09,151.16425765,134.51642900000002,-16.64782864999998,friedman_fallback_chi_square_approx,8.734663307644878e-09
Pyruvic acid,60,40.74666666666667,3.0328156628519916e-08,107.49114370000001,66.06211033,-41.42903337000001,friedman_fallback_chi_square_approx,5.307427409990985e-08
methanol,60,38.42666666666673,9.149414272326002e-08,309.10470485,155.13230145,-153.97240340000002,friedman_fallback_chi_square_approx,1.4779823055295849e-07
citrate,60,31.320000000000164,2.6340463361072298e-06,108.80082490000001,108.2082149,-0.5926100000000076,friedman_fallback_chi_square_approx,3.9510695041608444e-06
histidine,60,29.533333333333303,6.0905713687115255e-06,62.757609535,67.825642105,5.06803257,friedman_fallback_chi_square_approx,8.526799916196135e-06
L-Lactic acid,60,15.759999999999991,0.00335870954422973,1660.038597,1668.0428940000002,8.004297000000179,friedman_fallback_chi_square_approx,0.004408306276801521
L-alanine,60,11.573333333333494,0.02082279948180686,1184.8903025,1121.992268,-62.898034499999994,friedman_fallback_chi_square_approx,0.02572228171282024
creatinine,60,11.346666666666806,0.02293218611277554,105.33011210000001,98.67975316,-6.650358940000004,friedman_fallback_chi_square_approx,0.026754217131571462
L-glutamine,60,10.920000000000073,0.02747797011150487,991.30563115,1049.1290764999999,57.82344534999993,friedman_fallback_chi_square_approx,0.030370388017979064
hypoxanthine,60,9.064220183486414,0.059514173944504645,4.4372106425,5.425574908,0.9883642654999996,friedman_fallback_chi_square_approx,0.062489882641729874
acetate,60,5.626666666666779,0.22881770601308732,42.028013845000004,53.629401855,11.601388009999994,friedman_fallback_chi_square_approx,0.22881770601308732
